JournalCode|JournalLib|EcritureNum|EcritureDate|CompteNum|CompteLib|CompAuxNum|CompAuxLib|PieceRef|PieceDate|EcritureLib|Debit|Credit|EcritureLet|DateLet|ValidDate|Montantdevise|Idevise|CategorieADEME
AC|Achats|AC00001|20240714|606400|Fournisseurs|FOU136|Boulanger|FA-2407-0001|20240714|Fournitures|1674,91|0,00|||20240714|0,00||Achats de Biens
AC|Achats|AC00002|20240409|626000|Fournisseurs|FOU438|OVH Cloud|FA-2404-0002|20240409|Abo OVH _|55,96|0,00|||20240409|0,00||Achats de Services
AC|Achats|AC00003|20240409|622600|Fournisseurs|FOU472|Malt|FA-2404-0003|20240409|Malt Fact.ref|2894,87|0,00|||20240409|0,00||Achats de Services
AC|Achats|AC00004|20240414|625100|Fournisseurs|FOU447|SNCF|FA-2404-0004|20240414|Billet SNCF / fev|2595,89|0,00|||20240414|0,00||Déplacements
AC|Achats|AC00005|20240410|606400|Fournisseurs|FOU342|Bureau Vallee|FA-2404-0005|20240410|Ramette papier / T2|2032,42|0,00|||20240410|0,00||Achats de Biens
AC|Achats|AC00006|20240927|606100|Fournisseurs|FOU593|TotalEnergies|FA-2409-0006|20240927|abo gaz _|3048,33|0,00|||20240927|0,00||Energie
AC|Achats|AC00007|20241202|218300|Fournisseurs|FOU714|Dell France|FA-2412-0007|20241202|Materiel Info|1939,82|0,00|||20241202|0,00||Achats de Biens
AC|Achats|AC00008|20240614|625100|Fournisseurs|FOU402|Vinci Autoroutes|FA-2406-0008|20240614|Autoroute|3990,23|0,00|||20240614|0,00||Déplacements
AC|Achats|AC00009|20240812|606100|Fournisseurs|FOU182|EDF Pro|FA-2408-0009|20240812|Energie mois2024|2046,21|0,00|||20240812|0,00||Energie
AC|Achats|AC00010|20240628|625100|Fournisseurs|FOU163|SNCF|FA-2406-0010|20240628|SNCF Voyage _|2341,05|0,00|||20240628|0,00||Déplacements
AC|Achats|AC00011|20241003|606100|Fournisseurs|FOU969|EDF Pro|FA-2410-0011|20241003|abo edfcb|94,92|0,00|||20241003|0,00||Energie
AC|Achats|AC00012|20241110|606220|Fournisseurs|FOU057|Total|FA-2411-0012|20241110|Carburant - T2|343,64|0,00|||20241110|0,00||Déplacements
AC|Achats|AC00013|20240801|625100|Fournisseurs|FOU583|Vinci Autoroutes|FA-2408-0013|20240801|Badge Telepeage Vinci -|2657,39|0,00|||20240801|0,00||Déplacements
AC|Achats|AC00014|20240827|626000|Fournisseurs|FOU865|Amazon Web Services|FA-2408-0014|20240827|Abo AWS /|1297,75|0,00|||20240827|0,00||Achats de Services
AC|Achats|AC00015|20240714|625100|Fournisseurs|FOU739|SNCF|FA-2407-0015|20240714|sncf  T1|1896,86|0,00|||20240714|0,00||Déplacements
AC|Achats|AC00016|20240729|626000|Fournisseurs|FOU967|Orange Pro|FA-2407-0016|20240729|Forfait Mobile _ mars|1319,8|0,00|||20240729|0,00||Achats de Services
AC|Achats|AC00017|20240806|626000|Fournisseurs|FOU896|OVH Cloud|FA-2408-0017|20240806|Hebergement web|1008,01|0,00|||20240806|0,00||Achats de Services
AC|Achats|AC00018|20241001|606220|Fournisseurs|FOU641|Total|FA-2410-0018|20241001|Essence _ janvier|1433,23|0,00|||20241001|0,00||Déplacements
AC|Achats|AC00019|20240302|626000|Fournisseurs|FOU003|OVH Cloud|FA-2403-0019|20240302|Serveur OH|4705,76|0,00|||20240302|0,00||Achats de Services
